case,kind,indicator,snr_db,Px_ref,sigma,mc_id,t_first_any,t_valid,delay,premature_alarm,seed,indicator_name
Case_Test,B_transition,MaxEnt_SPRT,20.0,1.0126973666638687e-10,1.0063286573798188e-06,35,6.712524999987691,6.712524999987691,1.3467547912004632,False,22260337,MaxEnt_SPRT
Case_Test,B_transition,MaxEnt_SPRT,20.0,1.0126973666638687e-10,1.0063286573798188e-06,36,6.722524999987668,6.722524999987668,1.3567547912004398,False,22260338,MaxEnt_SPRT
Case_Test,B_transition,MaxEnt_SPRT,20.0,1.0126973666638687e-10,1.0063286573798188e-06,37,6.732524999987644,6.732524999987644,1.3667547912004165,False,22260339,MaxEnt_SPRT
Case_Test,B_transition,MaxEnt_SPRT,20.0,1.0126973666638687e-10,1.0063286573798188e-06,38,6.722524999987668,6.722524999987668,1.3567547912004398,False,22260340,MaxEnt_SPRT
Case_Test,B_transition,MaxEnt_SPRT,20.0,1.0126973666638687e-10,1.0063286573798188e-06,39,6.722524999987668,6.722524999987668,1.3567547912004398,False,22260341,MaxEnt_SPRT
Case_Test,B_transition,MaxEnt_SPRT,20.0,1.0126973666638687e-10,1.0063286573798188e-06,40,4.222524999993494,6.712524999987691,1.3467547912004632,True,22260342,MaxEnt_SPRT
Case_Test,B_transition,MaxEnt_SPRT,20.0,1.0126973666638687e-10,1.0063286573798188e-06,41,4.222524999993494,6.722524999987668,1.3567547912004398,True,22260343,MaxEnt_SPRT
Case_Test,B_transition,MaxEnt_SPRT,20.0,1.0126973666638687e-10,1.0063286573798188e-06,42,4.232524999993471,6.722524999987668,1.3567547912004398,True,22260344,MaxEnt_SPRT
Case_Test,B_transition,MaxEnt_SPRT,20.0,1.0126973666638687e-10,1.0063286573798188e-06,43,4.222524999993494,6.702524999987714,1.3367547912004865,True,22260345,MaxEnt_SPRT
Case_Test,B_transition,MaxEnt_SPRT,20.0,1.0126973666638687e-10,1.0063286573798188e-06,44,6.712524999987691,6.712524999987691,1.3467547912004632,False,22260346,MaxEnt_SPRT
Case_Test,B_transition,MaxEnt_SPRT,20.0,1.0126973666638687e-10,1.0063286573798188e-06,45,6.722524999987668,6.722524999987668,1.3567547912004398,False,22260347,MaxEnt_SPRT
Case_Test,B_transition,MaxEnt_SPRT,20.0,1.0126973666638687e-10,1.0063286573798188e-06,46,6.722524999987668,6.722524999987668,1.3567547912004398,False,22260348,MaxEnt_SPRT
Case_Test,B_transition,MaxEnt_SPRT,20.0,1.0126973666638687e-10,1.0063286573798188e-06,47,4.222524999993494,6.732524999987644,1.3667547912004165,True,22260349,MaxEnt_SPRT
Case_Test,B_transition,MaxEnt_SPRT,20.0,1.0126973666638687e-10,1.0063286573798188e-06,48,6.722524999987668,6.722524999987668,1.3567547912004398,False,22260350,MaxEnt_SPRT
Case_Test,B_transition,MaxEnt_SPRT,20.0,1.0126973666638687e-10,1.0063286573798188e-06,49,6.732524999987644,6.732524999987644,1.3667547912004165,False,22260351,MaxEnt_SPRT
